Category Product Price_per_kg
Dairy Milk 0,7
Meat Beef 1.5
Dairy Cheese 2
Meat Burger 60
Vegetable Banana 64
Vegetable Apple 9,9
Vegetable Cucumber 1,8
Dairy Butter 33
Meat Chicken 7
Vegetable Onion 6,8
Vegetable Potato 6 
Dairy Kefir 0,7
Meat Lamb 0,5
Meat Pork 23
Vegetable Kiwi 1
Vegetable Carrot 69
Meat Pizza 1,5
Meat Hotdog 0,2
Drink Beer 0,2
Meat Kebab 60
Drink Sprite 0,3
Drink Bleach -0,1
Vegetable Orange 20
Meat Fish 0,9
Dairy Kefir 0,7
Meat Lamb 55
Meat Beef 0,4
Dairy Cheese 2345
Meat Burger 6
Vegetable Banana 9
